399312,1994169,Anaís,Neukölln,Schillerpromenade,52.476364,13.425452,Entire home/apt,86.00,4,26,1,173
125349,623521,Andre,Treptow - Köpenick,Friedrichshagen,52.451054,13.635283,Entire home/apt,70.00,2,26,1,340
716568,2291822,Andre,Pankow,Prenzlauer Berg Nordwest,52.552753,13.411915,Entire home/apt,75.00,3,13,1,314
772627,4076626,Andre,Neukölln,Rixdorf,52.477001,13.442386,Entire home/apt,55.00,5,133,1,117
250067,1310454,Andrea,Neukölln,Reuterstraße,52.485142,13.443860,Entire home/apt,55.00,4,3,1,0
838639,4381309,Andrea,Neukölln,Schillerpromenade,52.475990,13.421932,Private room,90.00,5,14,1,0
304904,870376,Andreas,Pankow,Prenzlauer Berg Nordwest,52.552937,13.404477,Private room,37.00,2,161,1,118
578821,2847303,Andrew,Tempelhof - Schöneberg,Schöneberg-Nord,52.498276,13.348790,Entire home/apt,23.00,93,76,1,109
877939,730791,Andrew,Neukölln,Reuterstraße,52.487652,13.429113,Private room,24.00,5,5,1,0
520538,2561273,Anett,Pankow,Helmholtzplatz,52.543774,13.418624,Entire home/apt,99.00,2,61,2,269
439613,2183595,Angel,Pankow,Prenzlauer Berg Südwest,52.538292,13.411560,Private room,59.00,7,7,1,0
156010,750165,Angela,Mitte,Alexanderplatz,52.515533,13.424467,Entire home/apt,36.00,90,95,1,1
83183,453109,Angela L.,Pankow,Prenzlauer Berg Süd,52.536774,13.424469,Entire home/apt,53.00,2,197,2,249
410020,2041077,Angelica,Neukölln,Rixdorf,52.473675,13.448500,Private room,25.00,10,6,1,28
204617,1004934,Angelika,Charlottenburg-Wilm.,Neue Kantstraße,52.505165,13.294661,Entire home/apt,50.00,1,2,1,0
254576,1337197,Angelika,Charlottenburg-Wilm.,Neue Kantstraße,52.502796,13.303741,Entire home/apt,70.00,91,6,1,190
845192,4412486,Angelika,Pankow,Prenzlauer Berg Nordwest,52.553867,13.404702,Private room,42.00,3,11,1,362
187206,900521,Angelika-Maria,Mitte,Osloer Straße,52.563343,13.388021,Private room,25.00,2,224,1,322
188565,908562,Anis,Reinickendorf,West 1,52.575027,13.263065,Entire home/apt,86.00,1,4,4,87
421236,2094782,Anja,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.435104,13.212141,Entire home/apt,65.00,6,8,1,201
681420,3470183,Anja,Pankow,Schönholz/Wilhelmsruh/Rosenthal,52.596848,13.375362,Entire home/apt,45.00,1,0,1,0
636902,3175919,Anji,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.498333,13.447480,Private room,45.00,3,0,1,0
303097,1560726,Ann-Katrin,Pankow,Prenzlauer Berg Süd,52.529438,13.427629,Private room,66.00,2,31,1,343
214855,706845,Anna,Mitte,Tiergarten Süd,52.501839,13.354647,Private room,45.00,3,195,1,129
243063,1275846,Anna,Mitte,Brunnenstr. Süd,52.528500,13.390670,Entire home/apt,130.00,1,179,2,44
243081,1275846,Anna,Mitte,Brunnenstr. Süd,52.529301,13.390843,Entire home/apt,120.00,1,150,2,81
609459,3021382,Anna,Tempelhof - Schöneberg,Schöneberg-Süd,52.481201,13.359007,Private room,70.00,7,0,1,0
676575,3439006,Anna,Pankow,Prenzlauer Berg Ost,52.535999,13.436085,Private room,20.00,2,97,1,0
936642,5056339,Anna Maria,Steglitz - Zehlendorf,Zehlendorf  Nord,52.468800,13.290590,Entire home/apt,55.00,3,63,1,257
279315,1456634,Annabella,Neukölln,Reuterstraße,52.483597,13.437446,Private room,40.00,20,4,1,250
638001,2519598,Annamaria,Neukölln,Neuköllner Mitte/Zentrum,52.479626,13.429437,Entire home/apt,35.00,14,2,1,0
48955,211722,Anne,Pankow,Prenzlauer Berg Südwest,52.536266,13.420813,Entire home/apt,70.00,4,0,1,129
191023,923408,Anne,Mitte,Alexanderplatz,52.511780,13.407514,Private room,49.00,1,40,1,0
233453,1221935,Anne,Neukölln,Reuterstraße,52.484173,13.437283,Private room,32.00,2,30,1,251
434209,1262962,Anne,Reinickendorf,Nord 2,52.594040,13.325810,Entire home/apt,50.00,5,26,2,62
501735,2475800,Anne,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.494915,13.396517,Entire home/apt,39.00,7,5,1,0
879602,800780,Anne,Neukölln,Reuterstraße,52.493427,13.423774,Entire home/apt,60.00,1,22,1,225
893313,4751044,Anne,Pankow,Helmholtzplatz,52.547657,13.414744,Private room,33.00,1,8,1,363
799899,4211311,Annett,Reinickendorf,Nord 2,52.583817,13.342939,Entire home/apt,38.00,1,151,2,297
229348,1195177,Annika,Mitte,Moabit Ost,52.519920,13.341493,Entire home/apt,65.00,5,51,2,311
229363,1195177,Annika,Mitte,Moabit Ost,52.522072,13.343527,Entire home/apt,65.00,4,35,2,276
